text,label
"I, I like beer.",0
John wrote books.,0
Better you not drink.,0
The string cut.,0
Constant reading Shakespeare satisfied me,0
John has a hole in his quilt's upper right-hand corner.,0
It was kissed her.,0
He does have been eating.,0
Felicia shipped the box out of the storeroom.,0
The Mona Lisa sees easily.,0
"Ron wanted to wear a tuxedo to the party, but wear a tuxedo to the party Caspar couldn't decide whether to.",0
John is prouder of having gone than John expected me not to believe he would be.,0
I didn't eat the cake or any ice cream.,0
The man's standing over there hat impressed me greatly.,0
Reports of which the government prescribes the height of the Lettering on the covers are invariably boring.,0
The stone knocked against the pole into the road.,0
Calvin could will eat the beef waffles.,0
Cheryl stood the shelf with the books.,0
Soon irritating and a bully started shouting again.,0
It seemed to be intelligent.,0
Mary waited for the bus and to go home.,0
Tom told anybody that he wasn't sick.,0
Almost an owl hunts mice.,0
Did that John showed up please you?,0
Hunger fainted Sharon.,0
"The more contented I laughed at the nurse who thought that we were becoming, the more angry we grew at the doctors.",0
Jill offered the ball at Bob.,0
"I can well imagine if he eats more, him getting fat.",0
We abandoned from the area.,0
few evidence was provided.,0
John heard that they criticized each other.,0
Jill offered the ball towards Bob.,0
That he was hungry was whined by John.,0
A proof that the claim had been made was given that John had lied.,0
The shock flinched Sharon.,0
My red is refrigerator.,0
Harriet alternated folk songs and pop songs together.,0
I'm glad I saw anybody.,0
"We gave him enough opportunity and, sure enough, every senator succumbed to corruption.",0
George is having lived in Toledo for thirty years.,0
Him book,0
The package carried.,0
Celia brushed.,0
I shaped a loaf from the dough.,0
I dislike his tickling myself.,0
Bill would be easy for it to become expensive for you to chat with in Moscow.,0
Among the guests were sitting my friend Louise.,0
"After reading the pamphlet, Judy threw them into the garbage can.",0
My mother bore me in 1970.,0
The recent strike by pilots have cost the country a great deal of money from tourism and so on.,0
We put.,0
I want Bradley that left.,0
The equipment we bought last year was more expensive than the one we bought this year.,0
I'm sadder than angry.,0
That Sam didn't pick those packages which are to be mailed tomorrow up is possible.,0
I'm sadder than I'm angry.,0
The box contained the ball to the ground.,0
Buffy couldn't do 100 push ups and anybody laughed.,0
John loves Mary's pictures of himself.,0
The only relatives with whom I'd like to do away are my aunts.,0
Jack is the person whom Jenny fell in love.,0
Who does Phineas know a girl who is jealous of?.,0
Mary thinks for Bill to come.,0
I handed to Reg.,0
"Handsome though my friends suggested that Mary thinks that Tom is, I still won't date him.",0
The naughty child spanked.,0
Gilgamesh might can seek Ishtar,0
"Because never had Sir Thomas been so offended, Mr Yates left.",0
"Mary claimed that would eat cabbage, Holly.",0
Would not the men enjoy that?,0
The boy who I watched Bill and was vain.,0
I'll give to my good friend from Akron some.,0
I inquired that John like his beer.,0
"Put a picture of Bill on your desk, this girl in the red coat will put a picture of Bill on your desk before tomorrow.",0
Who does Phineas know a girl jealous of?,0
The captain named the ship as Seafarer.,0
This fact is key.,0
I have gone and buys some whiskey.,0
To whom the book did you give.,0
What I said that was we would go.,0
Anson is incredibly difficult to be pleased.,0
The city destroyed.,0
"John seems fond of ice cream, and Bill seems, too.",0
The shirts which I went to the movies and didn't pick up will cost us a lot of money.,0
Robin arrived all the way at the station.,0
I destroyed there.,0
Bill sent London a package.,0
Fruit dropped from the tree from the clouds.,0
Ron asked that the potion was ready,0
The people in who we placed our trust left.,0
I didn't eat the ice cream and any cake.,0
The writers so believed the boy.,0
"Fluffy is sick, which I fell asleep and Tom suddenly realized.",0
Dorothy needs the skills in her.,0
In price soared oil.,0
Cities destroy easily.,0
She has problem enough as it is.,0
My brother and few Americans meet in Vienna.,0
The pigs grunts,0
John is more than five feet short.,0
Cynthia munched peaches.,0
We believed to be omnipotent.,0
Does John have gone to the library?,0
Ellen talked Helen.,0
We proclaimed sincerely John to be a hero.,0
The Romans destroyed the city into ruins.,0
Henry wanted to possibly marry Fanny.,0
These stories about himself describe John better than any official biography.,0
The king banished at the general from the army.,0
Accountant was sitting at her desk.,0
She doesn't believe much story.,0
The house destroyed John.,0
"Every woman standing under that tree, whoever she may be, is Mary's friend.",0
"It is not entirely obvious if, Mary listens to the Grateful Dead, she gets depressed.",0
I searched treasure in the cave.,0
The consul's gift of himself to the gladiator.,0
Tessa cut.,0
"Kim likes Sandy, and Lee to Leslie.",0
"I like beer, I.",0
In the garden stand a statue.,0
I never met that man who anybody tried to kill.,0
"If anybody keeps spoiling the children, John keeps.",0
I read these big three books.,0
Either Professor Swansong or the graduate students is going to proctor the exam.,0
I broke the twig and the branch.,0
These are similar with the bottles.,0
Any lion is rare.,0
the book with a red cover from Blackwell of poems by Robert Burns takes a very long time to read.,0
I sent to you recipes.,0
He can can go,0
Louis was sent a book to.,0
"While Holly didn't discuss a report about every boy, she did every girl.",0
I only eat fish drunk raw.,0
Anson believed to be happy.,0
Mary has more friends than just Bill and Pete are.,0
Jean is likely.,0
The doctor cured pneumonia from Pat.,0
John would be hated to win.,0
"The dumplings which Sasha is gobbling down faster than I can reheat are extremely tasty, if I do say so.",0
"They can't stand each other, them.",0
That stone has a hole in the tarpaulin which it is holding down.,0
You will Bob believe.,0
Susan bought her birthday some flowers.,0
Many people were there playing on the beach,0
The critics ascribe Shakespeare this play.,0
Kim has wondered that Gary stayed in the room.,0
Jennie smiled the microwave.,0
David constructed the mansion from bricks into a house.,0
Every student answered any question.,0
I didn't eat any ice cream or Mary's cake.,0
Connie has become of the opinion that we should get out.,0
John is being discussed and Sally is being too.,0
There were killed three men.,0
John ate after getting home the steak.,0
At least three girls saw anything.,0
Emily showed himself Benjamin in the mirror.,0
Oliver drove me a lunatic.,0
"They said that Tom would pay up, and pay up that he did is well-known.",0
What Jason asked whether was the potion was ready,0
"When did Fanny return, she found Tom Bertram very ill.",0
What she thought that was the poison was neutralised,0
We kicked myself,0
One people was dying of thirst.,0
Ayala sent back her cousin the diamond necklace.,0
Has that we have arrived back at our starting point proved that the world is round?,0
the paper to finish by tomorrow is too long.,0
Jean reads never this newspaper.,0
"Because never had Sir Thomas been so offended, even Mr Yates left.",0
he belief that Mary kissed Bill is mistaken.,0
How hard to read the book it was!,0
John talked to any powerful politician.,0
He tries to put everyone who he doesn't like on.,0
I think for John to like his beer.,0
John kept behind the counter.,0
This drug's testing on oneself is too risky.,0
Tessa sprained.,0
Janet broke at the bread.,0
"John left at 11 and at 12, Bill.",0
Bill dried at the clothes.,0
"Yes, she will use.",0
Mary's criticism him was cruel.,0
John was wondering to whom he was referring to.,0
Joan plays and sings folk songs a wonderful old guitar from Spain.,0
Mary has more than just Bill and Pete friends.,0
She always wore herself in purple.,0
Herself hit Heidi on the head with a zucchini.,0
He looks so much formidable.,0
Henri told Sue in the drawer that Bill put socks.,0
Who do you think that has given the tickets to Bill?,0
Seven more soldiers came in after ten ones had left.,0
I polished the vase which was from India up.,0
It has raining every day for the last week.,0
Anson left before Jenny saw himself.,0
"Fluffy is sick, as surprises me.",0
Harry got to be as much of the celebrity as his father.,0
He kept company some girls who had been injured in the wreck.,0
I will go and bought some whiskey.,0
How many people do you wonder whether I consider intelligent?,0
I sent to you it.,0
I brought a razor to shave himself with.,0
All through the mountains raged a fire.,1
"The ball, a man kicked.",1
The convict escaped the police.,1
I lifted the books onto the table.,1
John runs into the house.,1
The king banished the general from the army.,1
We believed that Aphrodite was omnipotent.,1
"The richer John gets, the more geniuses John meets.",1
The constant reading of Shakespeare satisfied me,1
Which goddess did help us?,1
Where did John put the books?,1
That you came early surprised me.,1
Julie felt he was there,1
That the king or queen be present is a requirement on all Royal weddings.,1
John's mother sent a letter to Mary.,1
They sat on Mary.,1
Would the men not enjoy that?,1
John tries not to meet Mary.,1
Which attorney will give the closing argument hasn't been decided by them.,1
"Stories about him seem to show up more on the evening news, the more that John gets upset by them.",1
There is a description of Aristotle in the book.,1
He might eat deep fried muffins.,1
The branches knocked against the wall.,1
Brian wiped the fingerprints from under the cupboard.,1
That Fido barks annoys me.,1
John immediately learned French.,1
Sarah sang a ballad.,1
A motorist has reported the road is blocked at Bunker Hill.,1
Barbara handed the results to Alan on Tuesday.,1
the cat seems to be out of the bag.,1
John tries to often meet Mary.,1
John knew every language that we encountered on our trip.,1
The pictures of Bill she put on your desk.,1
The horse jumped the stream.,1
One of the people was dying of thirst.,1
What the thing cost which I ate almost broke me.,1
Ayala sent back the diamond necklace.,1
He made a statement which everyone thought was really interesting and important.,1
"Two days ago, we went out to dinner, and this afternoon, to the movies.",1
Dulles suspected everyone who Angleton did.,1
We peered through the screen.,1
Jane visits Emma.,1
Bill pushed Harry along the trail.,1
When can we register for graduation?,1
They're not finding it a stress being in the same office.,1
"I'm as much of a man as you are, my dear.",1
John mentioned the issue to me.,1
Kim put the book in the box.,1
I gave a gun to my brother which I had cleaned.,1
Tomorrow I promised chat he would be there.,1
Where did you throw the ball? To third base.,1
Amanda drove the package from Boston.,1
I visited every town I had to.,1
"I'm sad, more than I'm angry.",1
These fields were marched over by all the armies of Europe.,1
Who did drink the poison?,1
Maggie hurried her sister.,1
Gerry became quite conservative.,1
The moon glows in the darkness.,1
John sent her to Seoul.,1
the book of poems by Robert Burns with a red cover from Blackwell takes a very long time to read.,1
So fast did you run that everyone gasped.,1
"Tom ordered bacon, and Dick ordered lettuce, and I think that Harry ordered tomatoes.",1
They are investigating all people owning parakeets.,1
His girlfriend bought this computer for him.,1
The kennel which Mary made and Fido sleeps in has been stolen.,1
Every vampire slept.,1
John talked to any woman who came up to him except Sue.,1
The maple changed into an oak from a cedar.,1
"Will Sally, after John comes home, take a shower?",1
The winter schedule differed from the spring schedule.,1
They are intense.,1
John is eager to find a new home.,1
They wondered what she did yesterday.,1
a pencil with which to write broke.,1
The executive committee approved the new policy.,1
Who did Athena introduce to whom?,1
"Tom washed the car, and Dick waxed the car.",1
My family always summers at the seashore.,1
The robot kissed itself.,1
A magnificent diamond sparkled on his finger.,1
The present king of country music is more popular than the last one.,1
The student enjoyed his English syntax class last semester.,1
Susan consented to try to seem to have been kissed.,1
"The man, a ball kicked.",1
The flag waved.,1
The window broke.,1
Kim sang and Sandy danced.,1
Heidi thinks that Andy eats salmon flavored candy bars.,1
There seemed to be three men in the garden.,1
The two boys looked up the high stairs.,1
More are called than are ever chosen.,1
Who do you think that Bill believes to be innocent?,1
They represented Mary seriously as a genuine linguist.,1
No reading of Shakespeare satisfied me,1
It will take years for the Mersey to clean.,1
"Every student in Mary's class, by virtue of being in her class, is working on polarity items.",1
People selling their stocks caused the crash of 1929.,1
The box contains many tools.,1
Bill bled on the floor.,1
Which man did you talk to?,1
Linda winked at the audience.,1
John is not a more reliable fellow than Bill.,1
"Mary thinks that John said that pictures of himself, Susan likes?",1
Gilgamesh fears death and Achilles does as well,1
Steve tossed the ball into the garden.,1
"If you take a dry match and strike it, it lights.",1
I wondered had he left yet.,1
Many flags fluttered over the fort.,1
John kicked him.,1
Shelly loves who?,1
The oak developed out of a maple.,1
Jean is likely to leave.,1
It disturbed him that people didn't like Fred.,1
A solution presented itself yesterday.,1
The bandits murdered innocent victims.,1
The box completely contains the ball.,1
Jason was killed by Medea.,1
I like but Tom doesn't like to visit new places.,1
John disappeared.,1
"Sandy must have been, too.",1
He kicked you.,1
The weather is lovely today.,1
Wanda taught French to the students.,1
I gave to the officer in charge the blackjack. which I had found in the cookie jar.,1
Amanda carried packages to New York.,1
The prison cell was escaped by the terrorist.,1
"Jason became invisible, so that he could escape",1
Bill was hit by the baseball.,1
She mumbled her adoration.,1
Who do you think that Ciaran will question first?,1
"Although no one else thinks so, Harry thinks that Sally is innocent.",1
They play and I listen to unusual music.,1
He figured Ann out.,1
The cat was sleeping in the kitchen.,1
Harry says that Sally dislikes him.,1
Ellen said something to Helen.,1
They look generally on John as selfish.,1
Who do you think will question Seamus first?,1
John stayed behind the counter.,1
A clever magician with the right equipment can fool the audience easily.,1
Julie and Jenny arrived first,1
I worked on Sunday in the city on that project without a break.,1
Cynthia nibbled the carrot .,1
It seems that it is likely that John will win.,1
"His analysis, I never liked.",1
The librarian likes books.,1
I have some papers to grade.,1
The child was never deceived.,1
The scissors are lost,1
A gun which I had cleaned went off.,1
Did Sue not pass her exam?,1
I had eaten the deep fried muffins.,1
How clever you are!,1
There happened a serious accident yesterday.,1
I ordered that John drink his beer.,1
The computer is playing six simultaneous games of three dimensional chess.,1
Susan ate yesterday at the restaurant.,1
This book I enjoyed.,1
Alison poked the cloth with a needle.,1
Robert knows that it is essential.,1
I would prefer for John to be the candidate.,1
How slowly would you say he was driving?,1
Cheryl stood the books next to the magazines.,1
John asked whether Bill left.,1
I have six more of them.,1
Give the baby the bottle full.,1
They dismissed as too costly the proposal for the State to build a sidewalk from Dartmouth to Smith.,1
I went to the store and have bought some excellent whisky.,1
John was unknown.,1
The knife that he threw into the sea had a gold handle.,1
The only offer of which I plan to take advantage will give me an eleven month paid vacation.,1
It is after class that John wants to look at your notes.,1
Italy borders France.,1
He failed chemistry because he can't understand it.,1
I ordered John drink his beer.,1
I asked which king invaded which city.,1
My niece could write me letters before her third birthday.,1
"The more articles he reads, the fewer people he thinks will go into linguistics.",1
Did Harry leave?,1
It is to Ireland that he is going.,1
No student who read anything passed.,1
and index values of the subject and the main verb.,1
No one believes that he is a fool.,1
Anson believed the report.,1
Is Mary running the marathon?,1
The sponge soaked up the water.,1
Alice typed the letter.,1
The horse kicked Penny in the shin.,1
"Us, we'll go together.",1
The cook saved no scraps for the dog.,1
"They melted, broke the ice.",1
He looked it up,1
Sylvia is slapping Jeff upside the head in martial arts class.,1
What I arranged was for Jenny to be present.,1
What can the child read?,1
John became a success.,1
The book is astonishingly boring.,1
Bill sent Tom a package.,1
Ida hunted deer in the woods.,1
